PhotoID,CameraModel,LensID,ShutterSpeedValue,ApertureValue,ISO,FocalLength,FocalLengthIn35mmFormat,SubjectDistance,eyeglasses,head_accessory,ear_obstruct,makeup,facialhair,face_decor,head_tilt,head_lift,head_turn,BirthYear,Age_atphoto,Gender,Nationality,Weight,Height,fWHR,M_attractiveness,SD_attractiveness,M_dominance,SD_dominance,M_femininity,SD_femininity,M_masculinity,SD_masculinity,M_trustworthiness,SD_trustworthiness,M_Turkishness,SD_Turkishness,GM_DA,GM_MF
69,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,2,0,0,0,0,0,0,1995,21,Female,Turkish,48,158,1.90753797,2.620689655,1.361469616,3.607142857,1.435631903,4.037037037,1.331235247,2.824561404,1.525062142,3.892857143,1.5571369,4.206896552,0.74359536,0.028049165,-0.035423472
73,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,1,1,0,0,0,0,0,0,1996,20,Female,Turkish,48,168,2.019883434,2.298245614,1.281250955,3.344827586,1.670714987,3.438596491,1.309546594,3.109090909,1.499045712,3.775862069,1.56769026,3.649122807,1.093670557,0.047460925,-0.000606321
74,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,0,2,0,2,0,0,0,1991,25,Female,Turkish,,,1.755264105,2.203389831,1.256427077,3.525423729,1.418546271,3.683333333,1.620751726,3.271186441,1.700207984,3.393442623,1.463770115,4.122807018,0.983255806,0.053543127,0.009143746
76,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,13,125,98.0 mm,147 mm,2.82 m,0,0,2,0,0,0,0,0,0,1992,23,Female,Turkish,,,1.965693489,1.516666667,1.016668982,3.116666667,1.698370771,2.948275862,1.669356571,3.305084746,1.90511324,3.534482759,1.569618539,3.344827586,1.250287323,0.043660376,0.002632642
85,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,1,0,0,0,0,0,0,0,1994,22,Female,Turkish,,,1.80726764,2.350877193,1.274631993,2.627118644,1.337758097,3.649122807,1.83703204,2.280701754,1.578362465,4.593220339,1.921912159,4.379310345,0.721294796,,
91,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,0,0,0,0,0,0,0,1994,22,Female,Turkish,,,2.143067364,2.450980392,1.446564558,3.196078431,1.46996065,3.96,1.511317846,2.588235294,1.74558266,3.897959184,1.3881177,4.333333333,0.791622806,0.037069123,-0.023316089
92,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,13,125,105.0 mm,157 mm,2.82 m,0,0,2,1,0,2,0,0,1,1995,20,Female,Turkish,,,1.966819952,3.49122807,1.763952613,4.087719298,1.606690273,4.614035088,1.520742135,2.298245614,1.413770444,4.724137931,1.411644598,3.881355932,1.018530818,0.046309914,-0.000161751
95,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,13,125,105.0 mm,157 mm,2.82 m,0,0,2,2,0,0,0,0,0,1995,21,Female,Turkish,,,1.880691661,2.416666667,1.292634502,5.016666667,1.556742216,3.327868852,1.422688903,4.166666667,1.668925024,3.193548387,1.458032693,3.786885246,1.081892695,0.044843559,-0.032130705
97,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,1,0,2,0,0,0,0,0,1993,23,Female,Turkish,,,2.005915959,2.290322581,1.259548407,3.86440678,1.569731221,4.016949153,1.861511487,2.355932203,1.739626514,3.593220339,1.53261827,4.616666667,0.555150511,,
98,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,13,125,105.0 mm,157 mm,2.82 m,0,0,0,2,0,1,0,1,0,1992,24,Female,Turkish,,,2.029455763,4.879310345,1.71758282,5.293103448,1.42667102,5.385964912,1.398396862,2.762711864,1.896812054,3.966101695,1.607805333,3.881355932,0.984093242,0.049211168,-0.023319263
99,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,1,2,0,0,0,0,0,1995,21,Female,Turkish,,,2.118419953,2.236363636,1.373878484,5.107142857,1.509708839,3.537037037,1.645037855,4.259259259,1.771740272,3.622641509,1.59598553,4.222222222,0.691366344,0.063595553,-0.01233498
102,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,13,125,105.0 mm,157 mm,2.82 m,0,0,1,2,0,0,0,0,0,1992,23,Female,Turkish,,,2.127778797,4.118644068,1.427376974,3.661016949,1.433709554,5.084745763,1.368212219,1.737704918,0.964393408,5.229508197,1.498815562,4.155172414,0.695895842,0.04562196,-0.016709779
104,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,1,0,0,2,0,0,0,0,0,1994,22,Female,Turkish,,,1.974165873,3.789473684,1.520536114,4.527272727,1.372407259,4.925925926,1.226312956,2.245614035,1.340051995,4.203703704,1.606350952,4.236363636,0.792642939,0.032354308,-0.015492011
105,NIKON D90,,1/100,11,,80.0 mm,120 mm,,0,0,2,0,0,0,0,0,0,1991,25,Female,Turkish,,,1.926396945,2.964912281,1.841630802,3.666666667,1.672608456,4.237288136,1.633052811,2.683333333,1.610260182,3.983050847,1.50277359,4.189655172,0.887671833,0.039077523,-0.011966894
110,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,1,2,2,0,1,0,0,0,1993,23,Female,Turkish,,,1.913487034,2.559322034,1.545529554,3.982758621,1.721804228,4.24137931,1.78010787,2.474576271,1.622640804,3.05,1.556016208,3.683333333,0.999858747,0.032704145,-0.030890478
111,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,98.0 mm,147 mm,2.82 m,0,0,2,0,0,0,0,0,0,1995,21,Female,Turkish,,,2.088031534,3.389830508,1.69193777,3.844827586,1.662820729,4.431034483,1.601666555,2.280701754,1.47302393,4.637931034,1.333749179,3.931034483,0.895643823,0.043355863,0.001301689
115,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,2,0,0,0,0,0,0,1995,21,Female,Turkish,58,162,1.924975185,3.140350877,1.726253132,3.456140351,1.648269389,4.074074074,1.527753954,2.910714286,1.632363437,3.767857143,1.489247173,3.210526316,0.995289658,0.048431151,-0.047197161
116,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,10,125,105.0 mm,157 mm,2.82 m,0,0,2,0,0,0,0,0,0,1996,20,Female,Turkish,58,167,2.025582123,3.727272727,1.556997888,3.894736842,1.472172963,4.571428571,1.346472062,1.839285714,1.07495092,4.4,1.520481636,2.98245614,1.043538419,0.037737454,-0.014907184
120,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,2,1,0,0,0,0,0,1996,20,Female,Turkish,57,163,2.200345288,3.203389831,1.668983389,4.620689655,1.652510968,4.101694915,1.636806344,3.101694915,1.678411762,3.982758621,1.811187255,3.967213115,0.874970726,0.036398811,-0.012326959
131,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,1,0,0,0,0,"1,2",1,1,0,1991,25,Female,Turkish,,,2.301329687,2.625,1.613156139,4.836363636,1.584223567,3.719298246,1.655665446,3.105263158,1.739090593,3.446428571,1.476108432,3.589285714,1.156433164,0.066238638,0.000589337
132,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,2,0,0,0,0,0,0,1995,21,Female,Turkish,64,171,1.962595618,4.058823529,1.592630085,3.235294118,1.408378291,5.204081633,1.41391289,1.87755102,1.480887305,4.66,1.451389201,3.769230769,1.040651844,0.036808595,-0.023646432
135,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,2,0,0,0,0,0,0,1996,20,Female,Turkish,50,164,1.969200833,1.838709677,1.074191246,4.444444444,1.634090235,2.952380952,1.650303701,4.09375,1.900031328,3,1.636282175,3.698412698,0.944165797,0.046361869,-0.030315015
137,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,2,0,0,1,0,0,0,1996,20,Female,Turkish,73,167,2.131367665,2.779661017,1.415039863,3.616666667,1.427237069,3.847457627,1.399674338,2.360655738,1.414599907,4.524590164,1.490039791,4.290322581,0.611021632,0.044532459,0.005406817
138,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,13,125,98.0 mm,147 mm,2.82 m,0,0,1,2,0,1,0,2,0,1995,21,Female,Turkish,,,1.971096649,4.931034483,1.473295256,4.169491525,1.532999566,6,1.154700538,1.333333333,1.00593477,4,1.844860095,4,1.069044968,0.058645307,-0.049842854
139,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,2,2,0,0,0,0,0,1994,22,Female,Turkish,,,2.041671515,3.590163934,1.745251168,4.016129032,1.498545037,4.466666667,1.395715802,2.524590164,1.555705171,4.75,1.536284313,3.35,0.988493118,0.03917008,-0.000295957
151,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,0,2,0,0,1,0,0,1992,23,Female,Turkish,,,2.243636168,4.241935484,1.861477325,4.967213115,1.401989219,5.704918033,1.188055306,1.62295082,1.019214312,3.396825397,1.651389274,3.904761905,0.855990008,0.057119309,-0.002894728
152,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,1,0,0,0,0,1,0,1992,24,Female,Turkish,,,2.020349016,2.13559322,1.15157504,3.93442623,1.691831872,3.459016393,1.544601033,3.548387097,1.761867669,4.180327869,1.59695749,4.271186441,0.805808835,0.051124778,0.015280231
153,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,2,0,0,1,0,0,0,1995,21,Female,Turkish,61,168,1.995030634,2.633333333,1.413814011,4.442622951,1.511341459,4.129032258,1.552194332,3.081967213,1.899956859,3.852459016,1.536620378,3.576271186,0.932245895,0.039720141,-0.005479447
154,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,11,125,105.0 mm,157 mm,2.82 m,0,0,2,2,0,0,0,0,0,1994,22,Female,Turkish,61,170,1.96136886,4.133333333,1.48970099,4.540983607,1.336335418,5.163934426,1.306143533,2.245901639,1.47936628,4.262295082,1.315315416,3.883333333,0.884741975,0.035817386,-0.015002401
155,NIKON D90,AF-S DX VR Zoom-Nikkor 18-105mm f/3.5-5.6G ED,1/125,13,125,105.0 mm,157 mm,2.82 m,0,0,1,0,0,1,0,0,0,1995,20,Female,Turkish,,,1.86709226,2.357142857,1.271056417,3.854545455,1.470930441,4.178571429,1.322630201,2.982142857,1.554946026,3.854545455,1.406574271,4.052631579,0.811107106,0.043004468,-0.012106771
